	21123	POS
dahmer	49	NEG
NOT_decaying	2	NEG
personalities	52	NEG
subsumed	1	NEG
snored	1	NEG
NOT_creativity	4	NEG
NOT_passionately	1	NEG
removal	7	NEG
bingel	1	NEG
recurring	15	NEG
olga	4	NEG
rhetoric	12	NEG
sodium	1	NEG
NOT_coming	55	NEG
NOT_raptured	2	NEG
NOT_inexplicably	1	NEG
vanilla	11	NEG
fleeing	12	NEG
lapping	4	NEG
NOT_stick	18	NEG
hardbitten	1	NEG
umbilical	1	NEG
NOT_creatures	5	NEG
abortive	2	NEG
antisemitic	1	NEG
mag	3	NEG
foreshortened	1	NEG
NOT_stature	2	NEG
calls	138	NEG
southerner	3	NEG
tumble	3	NEG
eloping	1	NEG
bisleri	1	NEG
blackface	1	NEG
NOT_sibrel	2	NEG
cede	1	NEG
NOT_chore	1	NEG
sargent	3	NEG
NOT_incidents	2	NEG
dependence	5	NEG
NOT_offers	1	NEG
NOT_modernised	1	NEG
phenolic	1	NEG
NOT_tornado	1	NEG
NOT_smarter	1	NEG
stratagem	1	NEG
NOT_cave	1	NEG
filmic	17	NEG
sony	10	NEG
imax	5	NEG
NOT_cube	2	NEG
sons	40	NEG
NOT_cuba	3	NEG
daggett	4	NEG
marnack	2	NEG
beheads	2	NEG
treasured	1	NEG
blush	9	NEG
NOT_superpowerman	1	NEG
newfound	2	NEG
holds	90	NEG
NOT_planet	9	NEG
icf	2	NEG
dalmar	4	NEG
befriended	6	NEG
floored	5	NEG
arrogance	19	NEG
untraditional	1	NEG
stratification	1	NEG
escorting	4	NEG
subject	292	NEG
shatnerism	1	NEG
ten	423	NEG
yuoki	1	NEG
tel	3	NEG
flopped	9	NEG
NOT_screenplay	22	NEG
tec	2	NEG
garish	11	NEG
atlantian	7	NEG
boreanaz	6	NEG
noir	73	NEG
ted	67	NEG
tee	9	NEG
lakewood	3	NEG
tex	2	NEG
nc17	1	NEG
davidtz	4	NEG
indefinsibly	1	NEG
raimy	2	NEG
rosalina	1	NEG
tep	2	NEG
raechel	1	NEG
rosalind	1	NEG
schroder	3	NEG
bois	1	NEG
scrupulously	1	NEG
yippeeee	1	NEG
browse	1	NEG
NOT_mastermind	2	NEG
miche	1	NEG
krull	1	NEG
rainbow	14	NEG
producer9and	1	NEG
NOT_schoolers	1	NEG
desserts	5	NEG
intercut	10	NEG
NOT_bombs	1	NEG
retire	12	NEG
nobel	12	NEG
extremes	13	NEG
mai	6	NEG
samundar	1	NEG
eyewitness	5	NEG
resistable	1	NEG
wesley	28	NEG
straddle	1	NEG
downloadable	1	NEG
harassing	7	NEG
NOT_endless	4	NEG
unfriendly	8	NEG
outcome	42	NEG
pontiac	1	NEG
98minutes	1	NEG
NOT_annabel	1	NEG
NOT_addled	1	NEG
equalizer	1	NEG
mathieu	3	NEG
dagger	9	NEG
biographies	6	NEG
pillaging	4	NEG
compensate	24	NEG
halley	2	NEG
waddles	2	NEG
NOT_speeds	1	NEG
teeeell	1	NEG
female	519	NEG
eurselas	1	NEG
kimball	1	NEG
NOT_speedy	1	NEG
intellectualism	4	NEG
indulgent	62	NEG
murrow	1	NEG
intending	7	NEG
reynolds	48	NEG
neutrality	4	NEG
NOT_estatic	1	NEG
coyote	17	NEG
gallo	2	NEG
workhouse	1	NEG
NOT_skimp	2	NEG
sushi	3	NEG
cellphone	6	NEG
possess	29	NEG
nattukku	1	NEG
paleontologist	1	NEG
bhodi	3	NEG
huit	1	NEG
surveillance	6	NEG
accentuated	3	NEG
sanctimonious	8	NEG
espanto	1	NEG
cooze	1	NEG
NOT_asinine	1	NEG
chicas	1	NEG
florida	33	NEG
spacecraft	9	NEG
NOT_update	2	NEG
preposterous	56	NEG
auditory	2	NEG
alfonso	2	NEG
costing	1	NEG
jughead	1	NEG
laverne	2	NEG
NOT_trimmed	1	NEG
attracts	14	NEG
airport	57	NEG
demon	116	NEG
deserts	11	NEG
bittinger	1	NEG
NOT_buck	5	NEG
dismemberment	8	NEG
NOT_prude	5	NEG
involves	121	NEG
agreeably	1	NEG
crafty	2	NEG
NOT_strength	5	NEG
chasse	2	NEG
involved	528	NEG
thermonuclear	3	NEG
tillie	1	NEG
empirical	1	NEG
meek	8	NEG
NOT_effects	57	NEG
kkk	5	NEG
mortuary	1	NEG
dressing	38	NEG
irish	71	NEG
oriental	15	NEG
montecito	1	NEG
meet	254	NEG
NOT_diane	2	NEG
NOT_enjoys	2	NEG
tyranus	2	NEG
discernible	27	NEG
NOT_signing	2	NEG
gratification	5	NEG
psychodrama	1	NEG
saaaaaave	1	NEG
disjointedness	1	NEG
cato	10	NEG
piscopo	3	NEG
yamaguchi	1	NEG
benevolent	3	NEG
logans	1	NEG
scholl	1	NEG
interactive	3	NEG
45mins	1	NEG
equations	5	NEG
lethal	25	NEG
zivagho	1	NEG
willock	1	NEG
cartoonist	5	NEG
elites	4	NEG
gangway	1	NEG
NOT_excite	4	NEG
woopa	1	NEG
bolivian	2	NEG
merrideth	1	NEG
rashid	2	NEG
bravado	9	NEG
moribund	1	NEG
249	1	NEG
ghunghroo	1	NEG
woops	1	NEG
NOT_mute	1	NEG
cinegoers	1	NEG
tarrytown	1	NEG
hulled	1	NEG
240	1	NEG
gillman	1	NEG
scuttle	4	NEG
props	61	NEG
chic	10	NEG
bellwood	1	NEG
chih	1	NEG
originate	3	NEG
riski	2	NEG
NOT_antifreeze	1	NEG
chil	1	NEG
chim	2	NEG
chin	11	NEG
estevez	3	NEG
chip	18	NEG
NOT_premises	2	NEG
chit	1	NEG
kirov	1	NEG
chix	1	NEG
anycase	2	NEG
cactus	2	NEG
streetfighters	1	NEG
seargent	1	NEG
NOT_endeavor	1	NEG
onasis	1	NEG
heuy	1	NEG
pusser	6	NEG
demy	2	NEG
bachchan	41	NEG
fiennes	18	NEG
tenth	8	NEG
genetic	26	NEG
myerson	1	NEG
watch	2912	NEG
foreshadowed	2	NEG
tents	7	NEG
bashki	2	NEG
necessities	2	NEG
refinement	2	NEG
i	45413	NEG
equates	2	NEG
cuar	2	NEG
copulation	2	NEG
astroboy	1	NEG
mcenroe	8	NEG
outlay	1	NEG
beetleborgs	1	NEG
ripen	2	NEG
equated	2	NEG
hutt	1	NEG
huts	4	NEG
NOT_imax	1	NEG
mortal	17	NEG
NOT_suffering	9	NEG
promoted	26	NEG
mutiny	6	NEG
NOT_opinions	7	NEG
tenniel	1	NEG
NOT_others	51	NEG
eyebrow	11	NEG
promotes	7	NEG
champagne	7	NEG
muting	2	NEG
lori	5	NEG
mars	50	NEG
marv	1	NEG
elapsed	2	NEG
mart	33	NEG
sidenotes	1	NEG
NOT_defensible	1	NEG
marx	16	NEG
mary	223	NEG
NOT_influence	3	NEG
excommunication	1	NEG
marc	15	NEG
elapses	1	NEG
mara	10	NEG
mard	9	NEG
mare	10	NEG
marj	1	NEG
mark	263	NEG
jiang	1	NEG
mari	1	NEG
tarzan	105	NEG
NOT_revive	2	NEG
aarp	1	NEG
NOT_aesthetic	1	NEG
wastelands	2	NEG
answered	32	NEG
NOT_products	1	NEG
shhhhh	1	NEG
gayniggers	4	NEG
fallen	75	NEG
diced	1	NEG
allows	69	NEG
paycheck	39	NEG
dicey	1	NEG
mainardi	1	NEG
tailing	1	NEG
unconditional	5	NEG
highlighting	6	NEG
hanson	7	NEG
rewinder	1	NEG
NOT_watchowski	1	NEG
sardarji	1	NEG
ooooooh	1	NEG
obliterated	6	NEG
physicalizes	1	NEG
NOT_mph	1	NEG
oklahoma	10	NEG
marching	8	NEG
rafters	3	NEG
threaten	16	NEG
rewinded	1	NEG
receipts	2	NEG
emitting	2	NEG
populate	8	NEG
NOT_faulted	1	NEG
NOT_claims	7	NEG
atmospheres	2	NEG
neck	70	NEG
NOT_exhaled	1	NEG
unsaved	2	NEG
suitable	29	NEG
NOT_lately	3	NEG
suitably	27	NEG
snuffed	2	NEG
sirtis	6	NEG
NOT_absurdly	2	NEG
innumerable	8	NEG
NOT_planted	1	NEG
abortions	8	NEG
decomposition	2	NEG
8	247	NEG
wrinkling	1	NEG
hatcheck	1	NEG
groupies	1	NEG
airwaves	5	NEG
composed	43	NEG
decongestant	1	NEG
NOT_portrayal	4	NEG
papaya	1	NEG
catholicism	4	NEG
doofus	3	NEG
seconed	1	NEG
belie	1	NEG
NOT_clique	1	NEG
composer	38	NEG
composes	2	NEG
nodded	2	NEG
extravaganza	9	NEG
sinner	1	NEG
cmt	2	NEG
flores	1	NEG
sinned	1	NEG
gorgon	1	NEG
blaze	3	NEG
snag	3	NEG
claudine	2	NEG
seasame	1	NEG
sadism	12	NEG
NOT_ricans	1	NEG
resulting	41	NEG
NOT_lightning	2	NEG
verifies	1	NEG
bikers	11	NEG
narishma	1	NEG
mundane	47	NEG
NOT_bothered	51	NEG
whupped	1	NEG
reprehensible	9	NEG
verified	3	NEG
billowy	1	NEG
sadist	5	NEG
mattress	4	NEG
anteroom	1	NEG
filmaking	1	NEG
lovably	3	NEG
unsophisticated	9	NEG
hysterion	1	NEG
NOT_stretching	1	NEG
ringleader	2	NEG
stefanie	1	NEG
shylock	1	NEG
NOT_fitness	1	NEG
algeria	1	NEG
tingling	1	NEG
NOT_oil	6	NEG
dwarves	1	NEG
characterisations	7	NEG
lovable	35	NEG
NOT_nothing	68	NEG
NOT_anxiety	1	NEG
maddy	23	NEG
frantic	19	NEG
impersonation	16	NEG
writings	11	NEG
courtrooms	2	NEG
resister	1	NEG
urgent	5	NEG
errands	2	NEG
forewarn	1	NEG
turtle	31	NEG
trembled	3	NEG
uncredited	14	NEG
outstandingly	1	NEG
encompassing	3	NEG
inquisition	3	NEG
NOT_hybrid	2	NEG
loins	3	NEG
NOT_suited	8	NEG
absalom	2	NEG
tushies	2	NEG
arous	1	NEG
interactions	27	NEG
educate	8	NEG
NOT_pianist	1	NEG
scripter	2	NEG
tolerate	23	NEG
mirrors	17	NEG
NOT_bodybuilder	1	NEG
solidifies	2	NEG
accepting	22	NEG
discernment	1	NEG
shamalyan	1	NEG
taiwan	8	NEG
solidified	1	NEG
graceful	5	NEG
photographers	8	NEG
temperememt	1	NEG
friedkin	8	NEG
fffc	6	NEG
[	46	NEG
kosher	5	NEG
NOT_flotsam	1	NEG
enzos	1	NEG
incorruptible	2	NEG
giligan	1	NEG
utilising	1	NEG
NOT_permanente	1	NEG
sweden	13	NEG
protection	21	NEG
steamy	12	NEG
bushell	1	NEG
NOT_dawkins	1	NEG
perfume	3	NEG
hellspawn	1	NEG
potholes	1	NEG
steams	1	NEG
sovereignty	1	NEG
youtube	36	NEG
NOT_flayed	1	NEG
freleng	3	NEG
NOT_anger	4	NEG
maciste	1	NEG
helplessly	6	NEG
NOT_motocross	1	NEG
beattie	2	NEG
cropping	2	NEG
1146	1	NEG
NOT_amitabh	2	NEG
smoldering	4	NEG
NOT_adultery	2	NEG
NOT_gregg	1	NEG
whacks	2	NEG
NOT_clamoring	1	NEG
rusty	23	NEG
whacky	1	NEG
NOT_collective	3	NEG
briar	1	NEG
wirth	9	NEG
yegg	1	NEG
seung	1	NEG
broncho	1	NEG
brewing	6	NEG
deluded	10	NEG
creepers	5	NEG
complemented	2	NEG
malamaal	1	NEG
voyna	4	NEG
domingo	1	NEG
NOT_crutch	1	NEG
stockings	3	NEG
huckleberry	1	NEG
cockpits	1	NEG
education	51	NEG
ruling	6	NEG
innovated	1	NEG
commando	20	NEG
NOT_dukes	1	NEG
NOT_comically	2	NEG
verrrrry	1	NEG
ponders	2	NEG
NOT_focus	18	NEG
NOT_confirmed	1	NEG
restrained	12	NEG
mirroring	1	NEG
doomsville	2	NEG
salcedo	1	NEG
commands	10	NEG
ingalls	1	NEG
videotaping	4	NEG
mollycoddle	1	NEG
NOT_suckered	1	NEG
questioner	1	NEG
entrapment	2	NEG
NOT_1970s	1	NEG
lewinski	2	NEG
hauteur	1	NEG
infact	1	NEG
foretell	1	NEG
NOT_continue	12	NEG
transferring	5	NEG
didn	15	NEG
lid	3	NEG
apple	23	NEG
lib	6	NEG
didi	1	NEG
lia	1	NEG
corman	33	NEG
thatcher	4	NEG
lil	19	NEG
lim	2	NEG
painstakingly	5	NEG
munter	2	NEG
liv	11	NEG
lit	59	NEG
liu	10	NEG
preserves	4	NEG
illustrator	1	NEG
lip	33	NEG
NOT_prove	9	NEG
NOT_kara	2	NEG
tempted	44	NEG
hamlets	1	NEG
thatched	1	NEG
smuggled	2	NEG
NOT_hutton	1	NEG
schya	1	NEG
gobbledy	2	NEG
reconstruct	3	NEG
nopes	1	NEG
assessments	1	NEG
unhooking	1	NEG
filiality	1	NEG
reverberate	2	NEG
NOT_greasy	1	NEG
NOT_grease	2	NEG
tonight	43	NEG
NOT_irak	1	NEG
dreads	2	NEG
aroma	1	NEG
NOT_135	1	NEG
bore	120	NEG
NOT_cartoons	7	NEG
available	105	NEG
ponderosa	1	NEG
minimum	49	NEG
NOT_airing	2	NEG
stalker	45	NEG
NOT_gangster	7	NEG
tintin	2	NEG
squint	2	NEG
catching	36	NEG
feeling	488	NEG
aankh	1	NEG
spiralling	3	NEG
watchman	2	NEG
implied	24	NEG
joking	22	NEG
crusading	4	NEG
honus	2	NEG
premeditated	6	NEG
grammatical	1	NEG
bigelow	20	NEG
potently	1	NEG
NOT_practitioner	1	NEG
NOT_schindlers	1	NEG
landua	1	NEG
freeze	40	NEG
eaghhh	1	NEG
lester	47	NEG
nemisis	1	NEG
deathline	4	NEG
messing	38	NEG
underacts	2	NEG
bhagam	1	NEG
plagiary	1	NEG
womb	4	NEG
NOT_anonymous	2	NEG
deliciously	6	NEG
davitz	2	NEG
bhagat	1	NEG
warmhearted	1	NEG
downright	121	NEG
NOT_teleplay	1	NEG
toying	3	NEG
eyeroller	1	NEG
stockard	1	NEG
psychoanalyze	1	NEG
arlen	5	NEG
publicize	3	NEG
beater	1	NEG
ordo	1	NEG
chica	3	NEG
spearheading	1	NEG
NOT_message	28	NEG
faludi	1	NEG
blomkamp	1	NEG
essence	33	NEG
extant	1	NEG
beaten	68	NEG
wretchedly	5	NEG
simpson	75	NEG
evil	756	NEG
moulin	1	NEG
anorexic	8	NEG
guillot	1	NEG
maiko	1	NEG
woodard	4	NEG
NOT_disarm	1	NEG
gweneth	1	NEG
fund	15	NEG
theroux	1	NEG
forewarning	1	NEG
frost	25	NEG
colin	36	NEG
japes	1	NEG
rests	8	NEG
NOT_cartoon	18	NEG
sermons	3	NEG
chawla	11	NEG
tints	2	NEG
adaptor	1	NEG
seyrig	1	NEG
yevgeniya	1	NEG
consume	4	NEG
NOT_surrealism	1	NEG
thoses	2	NEG
rams	1	NEG
ramp	8	NEG
fierstein	1	NEG
NOT_lighter	1	NEG
ramu	10	NEG
exterminators	5	NEG
bipeds	1	NEG
NOT_lighten	1	NEG
collects	5	NEG
tear	35	NEG
coincidence	34	NEG
rama	9	NEG
whirlwind	4	NEG
attends	5	NEG
baltimore	5	NEG
discounted	1	NEG
poochie	2	NEG
NOT_ideas	12	NEG
mahatma	1	NEG
lockstock	1	NEG
NOT_overreach	1	NEG
NOT_trade	6	NEG
worthy	141	NEG
bathing	14	NEG
ordinary	92	NEG
circumcision	1	NEG
NOT_ideal	6	NEG
worths	1	NEG
predates	2	NEG
invective	1	NEG
crummiest	1	NEG
puked	3	NEG
bombin	1	NEG
hibernation	3	NEG
scarily	2	NEG
NOT_fallacy	1	NEG
NOT_captioned	1	NEG
stereoscopic	1	NEG
skipping	24	NEG
showtime	18	NEG
claims	116	NEG
mcphee	1	NEG
randall	10	NEG
NOT_niece	3	NEG
NOT_behalf	1	NEG
warns	22	NEG
klane	1	NEG
NOT_crafty	1	NEG
horts	1	NEG
populated	34	NEG
scenery	193	NEG
pensive	5	NEG
mixed	108	NEG
complete	593	NEG
personality	129	NEG
mid30s	1	NEG
NOT_bronchitis	1	NEG
ferhan	1	NEG
annex	2	NEG
harassment	5	NEG
NOT_cases	5	NEG
particle	4	NEG
wiping	8	NEG
giorgio	3	NEG
numbingly	30	NEG
apology	10	NEG
dives	12	NEG
diver	5	NEG
leaflets	1	NEG
NOT_siren	2	NEG
blackberry	1	NEG
georgina	1	NEG
sterilized	1	NEG
swiftness	1	NEG
ugc	1	NEG
NOT_dallas	1	NEG
gaspar	3	NEG
butlins	1	NEG
knocked	43	NEG
conqueror	2	NEG
finer	5	NEG
italy	43	NEG
whispers	4	NEG
todos	5	NEG
NOT_obnoxious	7	NEG
voy	1	NEG
NOT_conspiring	1	NEG
italo	3	NEG
fined	2	NEG
NOT_broken	4	NEG
dorff	21	NEG
psychopath	28	NEG
kidnap	35	NEG
NOT_seasoned	1	NEG
NOT_quest	1	NEG
fatuous	5	NEG
NOT_close	126	NEG
russians	27	NEG
coachload	1	NEG
NOT_into	387	NEG
monkey	91	NEG
paradoxical	1	NEG
whereas	75	NEG
infront	1	NEG
puttingly	1	NEG
valediction	1	NEG
necklaces	1	NEG
fulci	83	NEG
NOT_upcoming	1	NEG
provided	73	NEG
adversity	4	NEG
coneheads	1	NEG
seventies	56	NEG
winkler	3	NEG
fraudulent	6	NEG
miami	34	NEG
uniformed	7	NEG
provider	4	NEG
NOT_preposterous	2	NEG
NOT_autocue	1	NEG
annabel	5	NEG
cos	21	NEG
scientists	87	NEG
cop	349	NEG
clean	90	NEG
NOT_armstrong	1	NEG
NOT_laughed	14	NEG
coz	6	NEG
coy	8	NEG
cox	35	NEG
NOT_unconventional	1	NEG
kevin	138	NEG
pshaw	1	NEG
asphalt	2	NEG
NOT_weapon	6	NEG
cod	5	NEG
unto	4	NEG
coo	4	NEG
con	52	NEG
com	81	NEG
col	9	NEG
miscast	107	NEG
visine	1	NEG
gobble	5	NEG
NOT_things	128	NEG
NOT_delighted	1	NEG
pellew	1	NEG
pellet	3	NEG
nowheres	1	NEG
executions	6	NEG
vaccaro	5	NEG
detract	9	NEG
penance	3	NEG
mammoth	2	NEG
barris	2	NEG
taccone	1	NEG
betuel	1	NEG
NOT_hurts	5	NEG
NOT_toronto	1	NEG
co2	2	NEG
gloomier	1	NEG
lycanthrope	4	NEG
hollyweed	1	NEG
thus	179	NEG
matthieu	1	NEG
arcand	3	NEG
reine	2	NEG
ampas	1	NEG
beergutted	1	NEG
tane	1	NEG
NOT_presumptive	1	NEG
headbutt	1	NEG
thud	5	NEG
mechanics	17	NEG
sporadically	13	NEG
michael	520	NEG
NOT_animators	1	NEG
designer	42	NEG
NOT_murli	1	NEG
sixteen	23	NEG
kaedin	1	NEG
elmann	3	NEG
designed	113	NEG
piffle	5	NEG
rohan	1	NEG
NOT_are	497	NEG
fuhgeddaboudit	1	NEG
pochath	3	NEG
scorecard	1	NEG
galling	4	NEG
gilmore	2	NEG
NOT_advantage	9	NEG
ost	2	NEG
weiss	2	NEG
pervert	13	NEG
tang	6	NEG
diabolique	2	NEG
penitentiary	2	NEG
NOT_alpha	1	NEG
weisz	23	NEG
osa	6	NEG
NOT_dahmer	4	NEG
felicity	4	NEG
bordered	4	NEG
flavius	1	NEG
NOT_ate	2	NEG
NOT_wounds	4	NEG
NOT_damiella	1	NEG
daninsky	12	NEG
chales	1	NEG
devon	16	NEG
monro	1	NEG
snack	11	NEG
liquid	10	NEG
touchy	7	NEG
schneider	32	NEG
jetsom	1	NEG
NOT_jealousy	1	NEG
drier	2	NEG
leered	1	NEG
swinging	28	NEG
devos	2	NEG
andreja	1	NEG
kusugi	1	NEG
medevil	1	NEG
mislead	11	NEG
elsehere	1	NEG
lauder	1	NEG
binks	6	NEG
NOT_deposit	1	NEG
exquisite	14	NEG
NOT_rawanda	1	NEG
gromit	8	NEG
destruction	55	NEG
acorns	1	NEG
NOT_educate	2	NEG
admiring	8	NEG
manicness	1	NEG
kensett	2	NEG
roared	1	NEG
NOT_forwarding	1	NEG
polygamy	3	NEG
loleralacartelort7890	1	NEG
courtship	4	NEG
unwritten	4	NEG
usaffe	2	NEG
scrooged	4	NEG
polishing	1	NEG
individuality	4	NEG
harridan	1	NEG
vicar	6	NEG
gollum	3	NEG
nikolai	3	NEG
holliman	1	NEG
eminently	12	NEG
attenborough	23	NEG
msted	1	NEG
NOT_soviets	1	NEG
teir	1	NEG
leonor	4	NEG
watered	23	NEG
fans	575	NEG
demolish	1	NEG
tribbiani	1	NEG
fanu	3	NEG
altaira	1	NEG
dispenza	2	NEG
resolved	26	NEG
NOT_destruction	3	NEG
cushy	1	NEG
NOT_erupting	1	NEG
technicians	2	NEG
sassiness	1	NEG
snozzcumbers	2	NEG
porch	3	NEG
NOT_spiritual	4	NEG
disrobe	4	NEG
diegetic	1	NEG
NOT_goodie	1	NEG
cap	30	NEG
twitchy	1	NEG
edna	4	NEG
akroyd	4	NEG
combinatoric	1	NEG
anxious	18	NEG
trepidous	1	NEG
possesed	1	NEG
martin	168	NEG
levys	1	NEG
ninjas	31	NEG
NOT_tail	4	NEG
NOT_miranda	1	NEG
overeating	1	NEG
NOT_chemicals	1	NEG
NOT_constipated	1	NEG
priestly	5	NEG
woken	6	NEG
cathartic	9	NEG
vitti	1	NEG
uchida	2	NEG
neuroses	2	NEG
catwoman	7	NEG
celestine	14	NEG
hatchet	10	NEG
imitating	18	NEG
NOT_apes	2	NEG
exist	108	NEG
hatches	6	NEG
subculture	4	NEG
butterface	1	NEG
poopers	1	NEG
car	701	NEG
blackmailing	4	NEG
inheritor	1	NEG
hatched	3	NEG
brood	2	NEG
NOT_vague	6	NEG
broom	8	NEG
moostly	1	NEG
broon	1	NEG
brook	7	NEG
NOT_heroines	2	NEG
muscled	1	NEG
profession	27	NEG
bmw	3	NEG
bmx	1	NEG
dcom	4	NEG
wopr	3	NEG
longendecker	1	NEG
compensation	6	NEG
lionheart	1	NEG
NOT_cheeks	1	NEG
artistry	12	NEG
arcade	6	NEG
spotting	9	NEG
ishibashi	4	NEG
stanwyck	29	NEG
prostitute	46	NEG
arguing	33	NEG
NOT_legs	6	NEG
NOT_friendship	3	NEG
NOT_king	25	NEG
schwarzman	1	NEG
ubber	1	NEG
zurich	2	NEG
m60	1	NEG
m61	1	NEG
NOT_separately	1	NEG
NOT_panoramic	2	NEG
turbocharger	1	NEG
contacts	12	NEG
NOT_rendering	2	NEG
flowerchild	1	NEG
overcrowding	1	NEG
NOT_grasped	2	NEG
1600s	1	NEG
stashes	1	NEG
rujal	1	NEG
talledega	1	NEG
obfuscated	1	NEG
filmette	1	NEG
fatigue	5	NEG
unfailing	1	NEG
truthfully	10	NEG
iu	1	NEG
it	44239	NEG
is	78248	NEG
ir	2	NEG
iq	34	NEG
ip	1	NEG
gargantuan	9	NEG
in	40524	NEG
im	55	NEG
il	20	NEG
NOT_ritter	2	NEG
ii	199	NEG
munster	8	NEG
ie	34	NEG
id	23	NEG
ic	4	NEG
ib	2	NEG
ia	7	NEG
inadvertent	1	NEG
winslett	1	NEG
lamar	2	NEG
lamas	25	NEG
bellossom	1	NEG
secure	20	NEG
inch	19	NEG
bonesetter	3	NEG
NOT_hacks	1	NEG
tornadoes	3	NEG
inca	1	NEG
debucourt	1	NEG
puerto	39	NEG
outdoorsman	1	NEG
complain	32	NEG
fedor8	4	NEG
pockets	8	NEG
usual	401	NEG
acs	6	NEG
astr	3	NEG
huddling	2	NEG
waft	1	NEG
serbo	1	NEG
NOT_hollywood	60	NEG
egal	1	NEG
egan	2	NEG
worshiped	2	NEG
NOT_installment	4	NEG
submerged	4	NEG
NOT_frozen	1	NEG
masterson	7	NEG
redline	11	NEG
virtue	15	NEG
unaccustomed	1	NEG
charlene	1	NEG
deceitful	5	NEG
repairman	3	NEG
nether	3	NEG
NOT_fitz	1	NEG
moderate	10	NEG
paedophile	4	NEG
chestnuts	2	NEG
experiential	1	NEG
NOT_mechanism	2	NEG
liken	2	NEG
shrinking	8	NEG
haulocast	2	NEG
liked	565	NEG
samaritan	2	NEG
corder	1	NEG
NOT_calloused	1	NEG
NOT_flashy	4	NEG
cussler	1	NEG
likes	212	NEG
consilation	1	NEG
fedora	2	NEG
klimov	1	NEG
tammuz	1	NEG
wiggle	3	NEG
NOT_promise	11	NEG
skimming	4	NEG
©	919	NEG
teffe	4	NEG
NOT_pesky	1	NEG
landlord	5	NEG
estrada	1	NEG
discos	1	NEG
envisioned	3	NEG
volken	1	NEG
certifiably	4	NEG
mothers	27	NEG
mateo	2	NEG
kellogg	3	NEG
NOT_surround	2	NEG
jacobi	3	NEG
researched	13	NEG
voyager	10	NEG
clarkson	8	NEG
leanings	3	NEG
aliso	1	NEG
ambiguously	2	NEG
excursion	12	NEG
unconscious	20	NEG
mater	3	NEG
mates	36	NEG
ilsa	4	NEG
insubstantial	2	NEG
syndicates	1	NEG
laddish	1	NEG
NOT_sexuality	3	NEG
fagin	3	NEG
ticks	3	NEG
cruiser	2	NEG
cruises	4	NEG
airliner	4	NEG
airlines	4	NEG
harald	2	NEG
ticky	1	NEG
NOT_involve	4	NEG
reawakened	1	NEG
spraying	8	NEG
ragbag	1	NEG
NOT_description	6	NEG
syndicated	5	NEG
moltres	1	NEG
bonafide	2	NEG
sorcia	1	NEG
misunderstanding	10	NEG
NOT_freshness	1	NEG
blitzer	1	NEG
spats	1	NEG
aidan	1	NEG
lupita	2	NEG
kiddoes	1	NEG
radiates	5	NEG
NOT_merits	8	NEG
beyond	452	NEG
spate	3	NEG
cicely	2	NEG
riverton	1	NEG
adjust	4	NEG
NOT_promoting	1	NEG
extensive	20	NEG
misogynist	3	NEG
actualy	1	NEG
gunning	4	NEG
defensively	2	NEG
swedish	47	NEG
compasses	2	NEG
tans	2	NEG
biggs	12	NEG
NOT_fleecing	1	NEG
crapping	1	NEG
NOT_players	5	NEG
memoir	2	NEG
gentile	1	NEG
bigga	1	NEG
olson	5	NEG
reforms	1	NEG
NOT_today	26	NEG
selective	8	NEG
poppins	5	NEG
unfortanetley	1	NEG
NOT_halls	1	NEG
invinicible	1	NEG
kinear	1	NEG
NOT_stuffy	1	NEG
unless	449	NEG
shumaker	2	NEG
frolic	4	NEG
difficulty	21	NEG
rtebeker	1	NEG
enrapt	1	NEG
wading	5	NEG
civilised	4	NEG
zeleznice	1	NEG
maintain	34	NEG
flinty	1	NEG
vehicles	32	NEG
mst3king	1	NEG
rycart	1	NEG
puzo	6	NEG
understands	21	NEG
lange	11	NEG
NOT_rebuttal	1	NEG
kilometers	3	NEG
NOT_day	51	NEG
uninspiring	30	NEG
NOT_selection	3	NEG
outrageousness	3	NEG
rest	963	NEG
capta	1	NEG
simonson	1	NEG
NOT_feature	40	NEG
physcological	1	NEG
tortuous	8	NEG
NOT_weiss	1	NEG
unattached	1	NEG
NOT_weisz	1	NEG
cinematically	7	NEG
seaton	3	NEG
shoehorned	3	NEG
spicing	2	NEG
bananas	5	NEG
dependants	1	NEG
NOT_impersonation	2	NEG
viii	2	NEG
stuart	38	NEG
NOT_curio	1	NEG
NOT_development	22	NEG
strangling	2	NEG
overdirection	1	NEG
subway	17	NEG
shayaris	1	NEG
jewelry	13	NEG
heder	13	NEG
soviet	43	NEG
ciano	2	NEG
reevaluated	1	NEG
persiflage	1	NEG
physically	65	NEG
petra	6	NEG
interpret	13	NEG
NOT_hardly	13	NEG
NOT_sold	8	NEG
cafferty	1	NEG
petri	1	NEG
finletter	1	NEG
NOT_sole	2	NEG
inculpate	1	NEG
psychobilly	1	NEG
NOT_numerous	3	NEG
treasury	3	NEG
NOT_go	393	NEG
treasure	76	NEG
NOT_busker	1	NEG
gauntlet	2	NEG
NOT_crafted	1	NEG
accessibility	3	NEG
glossing	1	NEG
objective	31	NEG
rossi	5	NEG
NOT_quality	66	NEG
NOT_ga	2	NEG
avco	1	NEG
hostages	15	NEG
parties	35	NEG
hybrid	37	NEG
scientifically	1	NEG
NOT_air	14	NEG
NOT_hasan	1	NEG
NOT_relates	1	NEG
passengers	22	NEG
garberina	2	NEG
amrican	1	NEG
